actor_id,identifier,namespace,datasource_id
US-AL,Q173,Wikidata,OEF:WD:subnational-area:20221103
US-AL,Q173,Wikidata,OEF:WD:subnational-area:20221103
US-AL,Q173,Wikidata,OEF:WD:subnational-area:20221103
BR-SP,Q175,Wikidata,OEF:WD:subnational-area:20221103
CA-QC,Q176,Wikidata,OEF:WD:subnational-area:20221103
GB-ENG,Q21,Wikidata,OEF:WD:subnational-area:20221103
GB-ENG,Q21,Wikidata,OEF:WD:subnational-area:20221103
GB-SCT,Q22,Wikidata,OEF:WD:subnational-area:20221103
BE-WAL,Q231,Wikidata,OEF:WD:subnational-area:20221103
BE-VLG,Q234,Wikidata,OEF:WD:subnational-area:20221103
BE-BRU,Q240,Wikidata,OEF:WD:subnational-area:20221103
GB-WLS,Q25,Wikidata,OEF:WD:subnational-area:20221103
GB-NIR,Q26,Wikidata,OEF:WD:subnational-area:20221103
DE-BE,Q64,Wikidata,OEF:WD:subnational-area:20221103
DE-BE,Q64,Wikidata,OEF:WD:subnational-area:20221103
GB-LND,Q84,Wikidata,OEF:WD:subnational-area:20221103
FR-75C,Q90,Wikidata,OEF:WD:subnational-area:20221103
US-CA,Q99,Wikidata,OEF:WD:subnational-area:20221103
GB-ORK,Q100166,Wikidata,OEF:WD:subnational-area:20221103
TH-38,Q1001862,Wikidata,OEF:WD:subnational-area:20221103
SI-136,Q1002229,Wikidata,OEF:WD:subnational-area:20221103
SI-172,Q1002247,Wikidata,OEF:WD:subnational-area:20221103
SI-069,Q1002371,Wikidata,OEF:WD:subnational-area:20221103
MT-10,Q1002742,Wikidata,OEF:WD:subnational-area:20221103
SI-135,Q1002863,Wikidata,OEF:WD:subnational-area:20221103
SI-024,Q1003969,Wikidata,OEF:WD:subnational-area:20221103
SI-042,Q1003984,Wikidata,OEF:WD:subnational-area:20221103
IR-07,Q1004666,Wikidata,OEF:WD:subnational-area:20221103
IR-14,Q1004666,Wikidata,OEF:WD:subnational-area:20221103
SI-169,Q1005165,Wikidata,OEF:WD:subnational-area:20221103
SI-162,Q1005185,Wikidata,OEF:WD:subnational-area:20221103
SI-021,Q1005208,Wikidata,OEF:WD:subnational-area:20221103
SI-027,Q1005224,Wikidata,OEF:WD:subnational-area:20221103
SI-101,Q1005364,Wikidata,OEF:WD:subnational-area:20221103
BG-07,Q1007272,Wikidata,OEF:WD:subnational-area:20221103
SI-039,Q1008048,Wikidata,OEF:WD:subnational-area:20221103
SI-179,Q1008079,Wikidata,OEF:WD:subnational-area:20221103
SI-188,Q1008086,Wikidata,OEF:WD:subnational-area:20221103
SI-168,Q1008095,Wikidata,OEF:WD:subnational-area:20221103
SI-160,Q1008102,Wikidata,OEF:WD:subnational-area:20221103
SI-210,Q1008144,Wikidata,OEF:WD:subnational-area:20221103
SI-154,Q1008179,Wikidata,OEF:WD:subnational-area:20221103
SI-020,Q1009409,Wikidata,OEF:WD:subnational-area:20221103
