"name","type","iso","actor_id"
"Bogotá","City","COL","CO BOG"
"Manchester","City","GBR","GB MNC"
"Abuja","City","NGA","NG ABV"
"Murcia","City","ESP","ES MJV"
"Envigado","City","COL","CO ENV"
"Niigata","City","JPN","JP KIJ"
"Barcelona","City","ESP","ES BCN"
"Takarazuka City","City","JPN","JP TZK"
"Hong Kong","City","HKG","HK HKG"
"Toyama","City","JPN","JP TOY"
"Pescara","City","ITA","IT PSR"
"Trondheim","City","NOR","NO TRD"
"Lund","City","SWE","SE LUD"
"Helsingborg","City","SWE","SE HEL"
"Naples","City","ITA","IT NAP"
"Bournemouth","City","GBR","GB BOH"
"Karsiyaka - Izmir","City","TUR","TR JKS"
"Wollongong","City","AUS","AU WOL"
"Falköping","City","SWE","SE FKG"
"Kanazawa","City","JPN","JP KNZ"
"Quissamã","City","BRA","BR QIA"
"Seoul","City","KOR","KR SEL"
"Adelaide","City","AUS","AU ADL"
"Shizuoka","City","JPN","JP SHO"
"Seferihisar","City","TUR","TR SFH"
"Växjö","City","SWE","SE VXO"
"Podgorica","City","MNE","ME TGD"
"San José","City","CRI","CR SJO"
"Fredensborg","City","DNK","DK FRE"
"Hamamatsu","City","JPN","JP HMM"
"Bolzano","City","ITA","IT BZO"
"Zapopan","City","MEX","MX ZAP"
"Nihonmatsu City","City","JPN","JP NQU"
"Kristianstad","City","SWE","SE KID"
"Nottingham","City","GBR","GB NTG"
"Nice","City","FRA","FR NCE"
"Dois Irmãos","City","BRA","BR DIS"
"Cañas","City","CRI","CR CAS"
"Hyderabad","City","IND","IN HYD"
"Daegu","City","KOR","KR TAE"
"Tegucigalpa","City","HND","HN TGU"
"Hvidovre","City","DNK","DK HVV"
"Kaoshiung","City","TWN","TW KHH"
"Alba Iulia","City","ROU","RO ALI"
"Nacala","City","MOZ","MZ MNC"
"Vitoria-Gasteiz","City","ESP","ES VIT"
"Malang","City","IDN","ID MLG"
"Curitiba","City","BRA","BR CWB"
"Heidelberg","City","DEU","DE HEI"
"Koriyama","City","JPN","JP KIY"
"Campinas","City","BRA","BR CPS"
"Taipei","City","TWN","TW TPE"
"Ikoma","City","JPN","JP OQM"
"Mount Barker","City","AUS","AU MBA"
"Surat","City","IND","IN STV"
"Florence","City","ITA","IT FLR"
"Taichung","City","TWN","TW TXG"
"Dar es Salaam","City","TZA","TZ DAR"
"Tokyo","City","JPN","JP TYO"
"Vallentuna","City","SWE","SE VTA"
"Sunderland","City","GBR","GB SUN"
"Gladsaxe","City","DNK","DK GLX"
"Águeda","City","PRT","PT AGU"
"Recife","City","BRA","BR REC"
"Makati","City","PHL","PH MTI"
"Umeå","City","SWE","SE UME"
"Évora","City","PRT","PT EVR"
"Torres Vedras","City","PRT","PT TVE"
"Kurashiki","City","JPN","JP KUA"
"Crespo","City","ARG","AR CEO"
"Sumaré","City","BRA","BR SME"
"Belen","City","CRI","CR BLN"
"Cordeirópolis","City","BRA","BR CRS"
"Kawagoe","City","JPN","JP KWE"
"Changwon","City","KOR","KR CHW"
"San Isidro (Lima)","City","PER","PE SDR"
"Braga","City","PRT","PT BGZ"
"Johannesburg","City","ZAF","ZA JNB"
"Ljubljana","City","SVN","SI LJU"
"Guadalajara","City","MEX","MX GDL"
"Pereira","City","COL","CO PEI"
"Mannheim","City","DEU","DE MHG"
"Florianópolis","City","BRA","BR FLN"
"Amsterdam","City","NLD","NL AMS"
"Pingtung","City","TWN","TW PIF"
"Reykjavík","City","ISL","IS REY"
"Kampala","City","UGA","UG KLA"
"Lisbon","City","PRT","PT LIS"
"Lausanne","City","CHE","CH LAU"
"Kadiovacik","City","TUR","TR URL"
"Gdynia","City","POL","PL GDY"
"Antalya","City","TUR","TR AYT"
"Bristol","City","GBR","GB BRS"
"Berlin","City","DEU","DE BER"
"Elsinore","City","DNK","DK HLS"
"Milan","City","ITA","IT MIL"
"San Justo","City","ARG","AR SJO"
"Parma","City","ITA","IT PMF"
"San Antonio de Areco","City","ARG","AR SAO"
"Cuenca","City","ECU","EC CUE"
"Musashino","City","JPN","JP MUH"
"Edinburgh","City","GBR","GB EDI"
"Kuala Lumpur","City","MYS","MY KUL"
"Wellington","City","NZL","NZ WLG"
"Utsunomiya City","City","JPN","JP UTO"
"Le Havre","City","FRA","FR LEH"
"Ibadan","City","NGA","NG IBA"
"Akureyri","City","ISL","IS AKU"
"Guangzhou","City","CHN","CN GGZ"
"Taoyuan","City","TWN","TW TYN"
"Quepos","City","CRI","CR QPS"
"Bern","City","CHE","CH BRN"
"Saitama City","City","JPN","JP STM"
"Suwon","City","KOR","KR SUO"
"Rouen","City","FRA","FR URO"
"Porto","City","PRT","PT OPO"
"Sintra","City","PRT","PT STA"
"Accra","City","GHA","GH ACC"
"Singapore","City","SGP","SG SIN"
"Ulsan","City","KOR","KR USN"
"Resistencia","City","ARG","AR RES"
"Quezon City","City","PHL","PH QZT"
"Handa","City","JPN","JP HDA"
"Zagreb","City","HRV","HR ZAG"
"Sincelejo","City","COL","CO SIJ"
"Rio de Janeiro","City","BRA","BR RIO"
"Basel","City","CHE","CH BSL"
"Gothenburg","City","SWE","SE GOT"
"Abidjan","City","CIV","CI ABJ"
"Sakuragawa","City","JPN","JP S67"
"Mora","City","SWE","SE MRA"
"Chuncheon","City","KOR","KR CHC"
"Chihuahua","City","MEX","MX CUU"
"Yasothon","City","THA","TH YNT"
"Independencia","City","CHL","CL IND"
"Zürich","City","CHE","CH ZRH"
"Paris","City","FRA","FR PAR"
"Odawara","City","JPN","JP ODW"
"Canoas","City","BRA","BR CAN"
"Västervik","City","SWE","SE VVK"
"Faro","City","PRT","PT FAO"
"Assisi","City","ITA","IT ASI"
"Hague","City","NLD","NL HAG"
"Wandsworth","City","GBR","GB WAN"
"Hangzhou","City","CHN","CN HAZ"
"Oreamuno","City","CRI","CR ORE"
"Denizli","City","TUR","TR DNZ"
"Lubumbashi","City","COD","CD FBM"
"Quito","City","ECU","EC UIO"
"Bangkok","City","THA","TH BKK"
"Padua","City","ITA","IT PDA"
"Monaco","City","MCO","MC MON"
"Lucca","City","ITA","IT LCV"
"Uranga","City","ARG","AR URA"
"Bogor","City","IDN","ID BOG"
"Izmir","City","TUR","TR IZM"
"Yeosu","City","KOR","KR YOS"
