"actor_id","emissions_id","year","total_emissions","datasource_id"
"CO BOG","CDPCitiesTargets:2021:base:CO BOG",2017,11424724,"CDPCitiesTargets:2021"
"CO BOG","CDPCitiesTargets:2021:BAU:CO BOG",2024,13438701,"CDPCitiesTargets:2021"
"GB MNC","CDPCitiesTargets:2021:base:GB MNC",1990,21200000,"CDPCitiesTargets:2021"
"GB MNC","CDPCitiesTargets:2021:target:GB MNC",2038,572400,"CDPCitiesTargets:2021"
"ES MJV","CDPCitiesTargets:2021:base:ES MJV",2007,2141277,"CDPCitiesTargets:2021"
"ES MJV","CDPCitiesTargets:2021:target:ES MJV",2020,1713021.6,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:base:CO ENV",2018,16911,"CDPCitiesTargets:2021"
"CO ENV","CDPCitiesTargets:2021:BAU:CO ENV",2050,26378,"CDPCitiesTargets:2021"
"JP KIJ","CDPCitiesTargets:2021:base:JP KIJ",2013,7908000,"CDPCitiesTargets:2021"
"JP KIJ","CDPCitiesTargets:2021:target:JP KIJ",2024,5535600,"CDPCitiesTargets:2021"
"ES BCN","CDPCitiesTargets:2021:base:ES BCN",2017,364240,"CDPCitiesTargets:2021"
"ES BCN","CDPCitiesTargets:2021:target:ES BCN",2030,185762.4,"CDPCitiesTargets:2021"
"JP TZK","CDPCitiesTargets:2021:base:JP TZK",1990,670000,"CDPCitiesTargets:2021"
"JP TZK","CDPCitiesTargets:2021:target:JP TZK",2020,645009,"CDPCitiesTargets:2021"
"HK HKG","CDPCitiesTargets:2021:base:HK HKG",2005,41200000,"CDPCitiesTargets:2021"
"HK HKG","CDPCitiesTargets:2021:target:HK HKG",2030,26368000,"CDPCitiesTargets:2021"
"JP TOY","CDPCitiesTargets:2021:base:JP TOY",2005,4047000,"CDPCitiesTargets:2021"
"JP TOY","CDPCitiesTargets:2021:target:JP TOY",2030,2832900,"CDPCitiesTargets:2021"
"NO TRD","CDPCitiesTargets:2021:base:NO TRD",2009,541093,"CDPCitiesTargets:2021"
"NO TRD","CDPCitiesTargets:2021:target:NO TRD",2030,108218.6,"CDPCitiesTargets:2021"
"SE LUD","CDPCitiesTargets:2021:base:SE LUD",2010,372176,"CDPCitiesTargets:2021"
"SE LUD","CDPCitiesTargets:2021:target:SE LUD",2045,0,"CDPCitiesTargets:2021"
"IT NAP","CDPCitiesTargets:2021:base:IT NAP",2005,2913413,"CDPCitiesTargets:2021"
"IT NAP","CDPCitiesTargets:2021:target:IT NAP",2020,2185059.75,"CDPCitiesTargets:2021"
"IT NAP","CDPCitiesTargets:2021:base:IT NAP",2005,2913413,"CDPCitiesTargets:2021"
"IT NAP","CDPCitiesTargets:2021:target:IT NAP",2020,2185059.75,"CDPCitiesTargets:2021"
"GB BOH","CDPCitiesTargets:2021:target:GB BOH",2030,0,"CDPCitiesTargets:2021"
"AU WOL","CDPCitiesTargets:2021:target:AU WOL",2050,0,"CDPCitiesTargets:2021"
"SE FKG","CDPCitiesTargets:2021:base:SE FKG",1990,329876,"CDPCitiesTargets:2021"
"SE FKG","CDPCitiesTargets:2021:target:SE FKG",2030,0,"CDPCitiesTargets:2021"
"JP KNZ","CDPCitiesTargets:2021:base:JP KNZ",2013,3537000,"CDPCitiesTargets:2021"
"JP KNZ","CDPCitiesTargets:2021:target:JP KNZ",2030,2475900,"CDPCitiesTargets:2021"
"KR SEL","CDPCitiesTargets:2021:base:KR SEL",2005,49445000,"CDPCitiesTargets:2021"
"KR SEL","CDPCitiesTargets:2021:target:KR SEL",2050,0,"CDPCitiesTargets:2021"
"AU ADL","CDPCitiesTargets:2021:target:AU ADL",2025,438520,"CDPCitiesTargets:2021"
"JP SHO","CDPCitiesTargets:2021:base:JP SHO",2013,55422500,"CDPCitiesTargets:2021"
"JP SHO","CDPCitiesTargets:2021:target:JP SHO",2022,5004651.75,"CDPCitiesTargets:2021"
"SE VXO","CDPCitiesTargets:2021:base:SE VXO",1993,459189,"CDPCitiesTargets:2021"
"SE VXO","CDPCitiesTargets:2021:target:SE VXO",2030,0,"CDPCitiesTargets:2021"
"ME TGD","CDPCitiesTargets:2021:base:ME TGD",2008,299,"CDPCitiesTargets:2021"
"ME TGD","CDPCitiesTargets:2021:target:ME TGD",2020,239.2,"CDPCitiesTargets:2021"
"CR SJO","CDPCitiesTargets:2021:base:CR SJO",2019,185,"CDPCitiesTargets:2021"
"CR SJO","CDPCitiesTargets:2021:target:CR SJO",2025,183.15,"CDPCitiesTargets:2021"
"JP HMM","CDPCitiesTargets:2021:base:JP HMM",2013,5724.6,"CDPCitiesTargets:2021"
"JP HMM","CDPCitiesTargets:2021:target:JP HMM",2030,4007.22,"CDPCitiesTargets:2021"
"IT BZO","CDPCitiesTargets:2021:base:IT BZO",2010,520715,"CDPCitiesTargets:2021"
"IT BZO","CDPCitiesTargets:2021:target:IT BZO",2030,309044.3525,"CDPCitiesTargets:2021"
"MX ZAP","CDPCitiesTargets:2021:base:MX ZAP",2016,2100231,"CDPCitiesTargets:2021"
"MX ZAP","CDPCitiesTargets:2021:BAU:MX ZAP",2030,2920279,"CDPCitiesTargets:2021"
"JP NQU","CDPCitiesTargets:2021:base:JP NQU",2013,492000,"CDPCitiesTargets:2021"
"JP NQU","CDPCitiesTargets:2021:target:JP NQU",2024,418003.2,"CDPCitiesTargets:2021"
"SE KID","CDPCitiesTargets:2021:base:SE KID",1990,618504,"CDPCitiesTargets:2021"
"SE KID","CDPCitiesTargets:2021:target:SE KID",2030,247401.6,"CDPCitiesTargets:2021"
"GB NTG","CDPCitiesTargets:2021:base:GB NTG",2005,1986480,"CDPCitiesTargets:2021"
"GB NTG","CDPCitiesTargets:2021:target:GB NTG",2020,1747127,"CDPCitiesTargets:2021"
"FR NCE","CDPCitiesTargets:2021:base:FR NCE",2012,1900,"CDPCitiesTargets:2021"
"FR NCE","CDPCitiesTargets:2021:target:FR NCE",2050,475,"CDPCitiesTargets:2021"
"CR CAS","CDPCitiesTargets:2021:base:CR CAS",2019,5.23,"CDPCitiesTargets:2021"
"CR CAS","CDPCitiesTargets:2021:target:CR CAS",2023,5.1777,"CDPCitiesTargets:2021"
"KR TAE","CDPCitiesTargets:2021:base:KR TAE",2018,27573,"CDPCitiesTargets:2021"
"KR TAE","CDPCitiesTargets:2021:BAU:KR TAE",2030,811818,"CDPCitiesTargets:2021"
"HN TGU","CDPCitiesTargets:2021:target:HN TGU",2040,557322,"CDPCitiesTargets:2021"
"DK HVV","CDPCitiesTargets:2021:target:DK HVV",2050,0,"CDPCitiesTargets:2021"
"TW KHH","CDPCitiesTargets:2021:base:TW KHH",2005,67372856,"CDPCitiesTargets:2021"
"TW KHH","CDPCitiesTargets:2021:target:TW KHH",2030,53898284.8,"CDPCitiesTargets:2021"
"RO ALI","CDPCitiesTargets:2021:target:RO ALI",2030,130000,"CDPCitiesTargets:2021"
"MZ MNC","CDPCitiesTargets:2021:base:MZ MNC",2016,204104,"CDPCitiesTargets:2021"
"MZ MNC","CDPCitiesTargets:2021:BAU:MZ MNC",2030,261622,"CDPCitiesTargets:2021"
"ES VIT","CDPCitiesTargets:2021:base:ES VIT",2006,49279,"CDPCitiesTargets:2021"
"ES VIT","CDPCitiesTargets:2021:target:ES VIT",2020,21682.76,"CDPCitiesTargets:2021"
"ID MLG","CDPCitiesTargets:2021:base:ID MLG",2012,1323755,"CDPCitiesTargets:2021"
"ID MLG","CDPCitiesTargets:2021:BAU:ID MLG",2030,2639566,"CDPCitiesTargets:2021"
"BR CWB","CDPCitiesTargets:2021:base:BR CWB",2016,3505046,"CDPCitiesTargets:2021"
"BR CWB","CDPCitiesTargets:2021:BAU:BR CWB",2050,6855886,"CDPCitiesTargets:2021"
"DE HEI","CDPCitiesTargets:2021:base:DE HEI",2010,1225000,"CDPCitiesTargets:2021"
