"population","population_year","actor_id"
7333415,2017,"CO BOG"
2835686,2019,"GB MNC"
3464000,2021,"NG ABV"
459403,2020,"ES MJV"
228848,2018,"CO ENV"
796670,2018,"JP KIJ"
1664182,2020,"ES BCN"
NA,NA,"JP TZK"
7481800,2020,"HK HKG"
418686,2015,"JP TOY"
119455,2021,"IT PSR"
207595,2021,"NO TRD"
125941,2020,"SE LUD"
149280,2020,"SE HEL"
983755,2014,"IT NAP"
983755,2014,"IT NAP"
395780,2021,"GB BOH"
350000,2020,"TR JKS"
222601,2021,"AU WOL"
33334,2020,"SE FKG"
465000,2018,"JP KNZ"
20242,2010,"BR QIA"
9911088,2020,"KR SEL"
29889,2020,"AU ADL"
NA,NA,"JP SHO"
48320,2020,"TR SFH"
94129,2019,"SE VXO"
185937,2011,"ME TGD"
347398,2020,"CR SJO"
41047,2021,"DK FRE"
NA,NA,"JP HMM"
107816,2020,"IT BZO"
1476491,2020,"MX ZAP"
NA,NA,"JP NQU"
86217,2020,"SE KID"
337098,2020,"GB NTG"
540000,2016,"FR NCE"
30472,2016,"BR DIS"
26201,2011,"CR CAS"
9700000,2009,"IN HYD"
2446144,2020,"KR TAE"
1293611,2021,"HN TGU"
53282,2018,"DK HVV"
149280,2020,"SE HEL"
2765932,2020,"TW KHH"
74000,2020,"RO ALI"
335168,2021,"MZ MNC"
255042,2019,"ES VIT"
843810,2020,"ID MLG"
1948626,2020,"BR CWB"
145512,2020,"DE HEI"
329475,2020,"JP KIY"
1175501,2020,"BR CPS"
2602418,2020,"TW TPE"
118532,2021,"JP OQM"
37481,2020,"AU MBA"
6207299,2021,"IN STV"
365437,2020,"IT FLR"
365437,2020,"IT FLR"
7481800,2020,"HK HKG"
2829930,2021,"TW TXG"
6041000,2019,"TZ DAR"
13957977,2021,"JP TYO"
34119,2020,"SE VTA"
277417,2018,"GB SUN"
69262,2020,"DK GLX"
47729,2011,"PT AGU"
26201,2011,"CR CAS"
1653461,2020,"BR REC"
582602,2015,"PH MTI"
127119,2018,"SE UME"
149280,2020,"SE HEL"
56596,2011,"PT EVR"
86217,2020,"SE KID"
78530,2019,"PT TVE"
NA,NA,"JP KUA"
21338,2017,"AR CEO"
286211,2020,"BR SME"
24000,2017,"CR BLN"
255042,2019,"ES VIT"
24826,2020,"BR CRS"
34119,2020,"SE VTA"
NA,NA,"JP KWE"
1036738,2020,"KR CHW"
34119,2020,"SE VTA"
329475,2020,"JP KIY"
65333,2017,"PE SDR"
228848,2018,"CO ENV"
228848,2018,"CO ENV"
1653461,2020,"BR REC"
189331,2020,"PT BGZ"
5870000,2020,"ZA JNB"
294464,2021,"SI LJU"
5243392,2020,"MX GDL"
488839,2021,"CO PEI"
86217,2020,"SE KID"
149280,2020,"SE HEL"
56596,2011,"PT EVR"
312722,2015,"DE MHG"
465000,2018,"JP KNZ"
125941,2020,"SE LUD"
495000,2010,"BR FLN"
872497,2021,"NL AMS"
24000,2017,"CR BLN"
