"actor_id","target_year","sector_list","target_boundary","percent_achieved","last_updated","target_type","baseline_year","target_id","target_value","target_unit","data_source"
"CO BOG",2024,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Relative emission reduction",2024,"CDPCitiesTargets:2021:CO BOG",15,"percent","CDPCitiesTargets:2021"
"GB MNC",2038,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",16.7,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:GB MNC",97.3,"percent","CDPCitiesTargets:2021"
"NG ABV",NA,NA,NA,NA,"2021-10-04T09:30:14.243","Carbon intensity reduction",NA,"CDPCitiesTargets:2021:NG ABV",NA,"percent","CDPCitiesTargets:2021"
"ES MJV",2020,"All emissions sources included in city inventory","Larger – covers the whole city and adjoining areas",21.32,"2021-10-04T09:30:14.243","Absolute emission reduction",2007,"CDPCitiesTargets:2021:ES MJV",20,"percent","CDPCitiesTargets:2021"
"CO ENV",2050,"Other, please specify: Agricultura. silvicultura y otros usos de la tierra (AFOLU)","Same (city-wide) – covers entire city and nothing else",20,"2021-10-04T09:30:14.243","Relative emission reduction",2050,"CDPCitiesTargets:2021:CO ENV",20,"percent","CDPCitiesTargets:2021"
"JP KIJ",2024,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",64.9,"2021-10-04T09:30:14.243","Absolute emission reduction",2013,"CDPCitiesTargets:2021:JP KIJ",30,"percent","CDPCitiesTargets:2021"
"ES BCN",2030,"Waste","Same (city-wide) – covers entire city and nothing else",3,"2021-10-04T09:30:14.243","Absolute emission reduction",2017,"CDPCitiesTargets:2021:ES BCN",49,"percent","CDPCitiesTargets:2021"
"JP TZK",2020,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",NA,"2021-10-04T09:30:14.243","Absolute emission reduction",1990,"CDPCitiesTargets:2021:JP TZK",3.73,"percent","CDPCitiesTargets:2021"
"HK HKG",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",55,"2021-10-04T09:30:14.243","Carbon intensity reduction",2005,"CDPCitiesTargets:2021:HK HKG",65,"percent","CDPCitiesTargets:2021"
"JP TOY",2030,"All emissions sources included in city inventory","Same (city-wide) – covers entire city and nothing else",37,"2021-10-04T09:30:14.243","Absolute emission reduction",2005,"CDPCitiesTargets:2021:JP TOY",30,"percent","CDPCitiesTargets:2021"
