"name","iso","entity_type","City.Location","lat","lng"
"Bogotá","COL","City","POINT (-74.0721 4.711)","4.711","-74.0721"
"Manchester","GBR","City","POINT (-2.15783 53.4576)","53.4576","-2.15783"
"Abuja","NGA","City","POINT (7.39857 9.07647)","9.07647","7.39857"
"Murcia","ESP","City","POINT (-1.00495 37.799)","37.799","-1.00495"
"Envigado","COL","City",NA,NA,NA
"Niigata","JPN","City",NA,NA,NA
"Barcelona","ESP","City","POINT (2.1775 41.3823)","41.3823","2.1775"
"Takarazuka City","JPN","City",NA,NA,NA
"Hong Kong","HKG","City","POINT (114.14 22.2881)","22.2881","114.14"
"Toyama","JPN","City",NA,NA,NA
"Pescara","ITA","City","POINT (14.2135 42.4639)","42.4639","14.2135"
"Trondheim","NOR","City","POINT (10.395 63.4305)","63.4305","10.395"
"Lund","SWE","City",NA,NA,NA
"Helsingborg","SWE","City",NA,NA,NA
"Naples","ITA","City","POINT (14.2514 40.842)","40.842","14.2514"
"Naples","ITA","City","POINT (14.2514 40.842)","40.842","14.2514"
"Bournemouth","GBR","City","POINT (-1.88076 50.7192)","50.7192","-1.88076"
"Karsiyaka - Izmir","TUR","City","POINT (27.1152 38.4596)","38.4596","27.1152"
"Wollongong","AUS","City","POINT (150.893 -34.4278)","-34.4278","150.893"
"Falköping","SWE","City",NA,NA,NA
"Kanazawa","JPN","City",NA,NA,NA
"Quissamã","BRA","City",NA,NA,NA
"Seoul","KOR","City","POINT (126.978 37.5665)","37.5665","126.978"
"Adelaide","AUS","City","POINT (138.601 -34.9285)","-34.9285","138.601"
"Shizuoka","JPN","City",NA,NA,NA
"Seferihisar","TUR","City","POINT (26.8344 38.1951)","38.1951","26.8344"
"Växjö","SWE","City","POINT (14.8091 56.8777)","56.8777","14.8091"
"Podgorica","MNE","City","POINT (19.2594 42.4304)","42.4304","19.2594"
"San José","CRI","City","POINT (9.9326 -84.0796)","-84.0796","9.9326"
"Fredensborg","DNK","City","POINT (12.4058 55.9747)","55.9747","12.4058"
"Hamamatsu","JPN","City",NA,NA,NA
"Bolzano","ITA","City","POINT (11.3566 46.4997)","46.4997","11.3566"
"Zapopan","MEX","City",NA,NA,NA
"Nihonmatsu City","JPN","City",NA,NA,NA
"Kristianstad","SWE","City",NA,NA,NA
"Nottingham","GBR","City",NA,NA,NA
"Nice","FRA","City","POINT (7.26195 43.7102)","43.7102","7.26195"
"Dois Irmãos","BRA","City",NA,NA,NA
"Cañas","CRI","City",NA,NA,NA
"Hyderabad","IND","City",NA,NA,NA
"Daegu","KOR","City",NA,NA,NA
"Tegucigalpa","HND","City","POINT (-87.2044 14.1051)","14.1051","-87.2044"
"Hvidovre","DNK","City","POINT (12.4754 55.6425)","55.6425","12.4754"
"Helsingborg","SWE","City",NA,NA,NA
"Kaoshiung","TWN","City","POINT (120.344 22.6297)","22.6297","120.344"
"Alba Iulia","ROU","City","POINT (23.569 46.0823)","46.0823","23.569"
"Nacala","MOZ","City","POINT (40.6854 -14.5656)","-14.5656","40.6854"
"Vitoria-Gasteiz","ESP","City","POINT (-2.67 42.84)","42.84","-2.67"
"Malang","IDN","City",NA,NA,NA
"Curitiba","BRA","City","POINT (-49.2647 -25.4311)","-25.4311","-49.2647"
"Heidelberg","DEU","City","POINT (8.67243 49.3988)","49.3988","8.67243"
"Koriyama","JPN","City",NA,NA,NA
"Campinas","BRA","City","POINT (-46.9372 -22.744)","-22.744","-46.9372"
"Taipei","TWN","City","POINT (121.564 25.0375)","25.0375","121.564"
"Ikoma","JPN","City",NA,NA,NA
