"population","population_year","City.Location","lat","lng"
7333415,2017,"POINT (-74.0721 4.711)","4.711","-74.0721"
883570,2020,"POINT (-86.1785 39.7676)","39.7676","-86.1785"
2835686,2019,"POINT (-2.15783 53.4576)","53.4576","-2.15783"
3464000,2021,"POINT (7.39857 9.07647)","9.07647","7.39857"
NA,NA,NA,NA,NA
459403,2020,"POINT (-1.00495 37.799)","37.799","-1.00495"
228848,2018,NA,NA,NA
NA,NA,NA,NA,NA
1047526,2020,"POINT (-113.491 53.5444)","53.5444","-113.491"
NA,NA,NA,NA,NA
796670,2018,NA,NA,NA
261746,2018,NA,NA,NA
148500,2018,NA,NA,NA
85755,2019,"POINT (-86.5264 39.1653)","39.1653","-86.5264"
1664182,2020,"POINT (2.1775 41.3823)","41.3823","2.1775"
NA,NA,NA,NA,NA
7481800,2020,"POINT (114.14 22.2881)","22.2881","114.14"
7991,800,NA,NA,NA
38638,2018,"POINT (9.54153 57.1453)","57.1453","9.54153"
59517,2016,NA,NA,NA
533900,2017,"POINT (1.754 53.792)","53.792","1.754"
82094,2016,NA,NA,NA
418686,2015,NA,NA,NA
NA,NA,NA,NA,NA
119455,2021,"POINT (14.2135 42.4639)","42.4639","14.2135"
8908081,2018,"POINT (-0.07868 51.5048)","51.5048","-0.07868"
1345047,2018,"POINT (-96.8004 32.7801)","32.7801","-96.8004"
207595,2021,"POINT (10.395 63.4305)","63.4305","10.395"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
40173,2019,"POINT (-118.4 34.02)","34.02","-118.4"
125941,2020,NA,NA,NA
46429,2010,"POINT (-67.6955 -34.978)","-34.978","-67.6955"
149280,2020,NA,NA,NA
983755,2014,"POINT (14.2514 40.842)","40.842","14.2514"
395780,2021,"POINT (-1.88076 50.7192)","50.7192","-1.88076"
350000,2020,"POINT (27.1152 38.4596)","38.4596","27.1152"
222601,2021,"POINT (150.893 -34.4278)","-34.4278","150.893"
33334,2020,NA,NA,NA
465000,2018,NA,NA,NA
20242,2010,NA,NA,NA
NA,NA,NA,NA,NA
9911088,2020,"POINT (126.978 37.5665)","37.5665","126.978"
171629,2020,"POINT (-105.084 40.5853)","40.5853","-105.084"
29889,2020,"POINT (138.601 -34.9285)","-34.9285","138.601"
NA,NA,NA,NA,NA
48320,2020,"POINT (26.8344 38.1951)","38.1951","26.8344"
94129,2019,"POINT (14.8091 56.8777)","56.8777","14.8091"
185937,2011,"POINT (19.2594 42.4304)","42.4304","19.2594"
347398,2020,"POINT (9.9326 -84.0796)","-84.0796","9.9326"
31822,2019,NA,NA,NA
546695,2019,NA,NA,NA
291855,2018,"POINT (-48.3243 -10.2491)","-10.2491","-48.3243"
8399000,2018,"POINT (-74.0059 40.7128)","40.7128","-74.0059"
41047,2021,"POINT (12.4058 55.9747)","55.9747","12.4058"
NA,NA,NA,NA,NA
1235574,2019,NA,NA,NA
107816,2020,"POINT (11.3566 46.4997)","46.4997","11.3566"
NA,NA,"POINT (-100.458 25.6732)","25.6732","-100.458"
593490,2019,"POINT (-76.6122 39.2904)","39.2904","-76.6122"
52590,2019,NA,NA,NA
167759,2014,NA,NA,NA
1476491,2020,NA,NA,NA
NA,NA,NA,NA,NA
86217,2020,NA,NA,NA
99570,2020,NA,NA,NA
NA,NA,NA,NA,NA
337098,2020,NA,NA,NA
540000,2016,"POINT (7.26195 43.7102)","43.7102","7.26195"
30472,2016,NA,NA,NA
26201,2011,NA,NA,NA
9700000,2009,NA,NA,NA
2446144,2020,NA,NA,NA
1293611,2021,"POINT (-87.2044 14.1051)","14.1051","-87.2044"
116632,2019,"POINT (-93.3273 45.601)","45.601","-93.3273"
53282,2018,"POINT (12.4754 55.6425)","55.6425","12.4754"
18342,2021,NA,NA,NA
748432,2018,NA,NA,NA
63375,2018,"POINT (-117.293 33.0454)","33.0454","-117.293"
261746,2018,NA,NA,NA
NA,NA,NA,NA,NA
3438710,2020,NA,NA,NA
NA,NA,NA,NA,NA
20003,2019,NA,NA,NA
149280,2020,NA,NA,NA
2765932,2020,"POINT (120.344 22.6297)","22.6297","120.344"
74000,2020,"POINT (23.569 46.0823)","46.0823","23.569"
NA,NA,NA,NA,NA
50759,2020,"POINT (12.2898 55.6563)","55.6563","12.2898"
335168,2021,"POINT (40.6854 -14.5656)","-14.5656","40.6854"
255042,2019,"POINT (-2.67 42.84)","42.84","-2.67"
237231,2020,NA,NA,NA
843810,2020,NA,NA,NA
1948626,2020,"POINT (-49.2647 -25.4311)","-25.4311","-49.2647"
145512,2020,"POINT (8.67243 49.3988)","49.3988","8.67243"
NA,NA,NA,NA,NA
38638,2018,"POINT (9.54153 57.1453)","57.1453","9.54153"
50684,2010,NA,NA,NA
329475,2020,NA,NA,NA
1175501,2020,"POINT (-46.9372 -22.744)","-22.744","-46.9372"
2602418,2020,"POINT (121.564 25.0375)","25.0375","121.564"
378089,2010,"POINT (-44.2012 -19.9673)","-19.9673","-44.2012"
118532,2021,NA,NA,NA
37481,2020,NA,NA,NA
36279,2017,"POINT (-41.6667 -20.7)","-20.7","-41.6667"
55754,2020,NA,NA,NA
NA,NA,NA,NA,NA
199150,2020,"POINT (-0.32574 51.448)","51.448","-0.32574"
NA,NA,NA,NA,NA
51183,2020,"POINT (12.2349 55.931)","55.931","12.2349"
6207299,2021,NA,NA,NA
NA,NA,NA,NA,NA
2956024,2018,"POINT (-79.3832 43.6532)","43.6532","-79.3832"
NA,NA,NA,NA,NA
280174,2020,"POINT (-106.67 52.1332)","52.1332","-106.67"
365437,2020,"POINT (11.2558 43.7696)","43.7696","11.2558"
7481800,2020,"POINT (114.14 22.2881)","22.2881","114.14"
42284,2015,"POINT (-73.2121 44.4759)","44.4759","-73.2121"
226400,2019,"POINT (-76.0026 37.2265)","37.2265","-76.0026"
2829930,2021,"POINT (120.647 24.1619)","24.1619","120.647"
6041000,2019,"POINT (39.2083 -6.79235)","-6.79235","39.2083"
8560,2010,NA,NA,NA
98559,2021,NA,NA,NA
529440,2010,NA,NA,NA
90620,2021,"POINT (-122.479 48.7519)","48.7519","-122.479"
13957977,2021,"POINT (139.41 35.41)","35.41","139.41"
209533,2020,NA,NA,NA
NA,NA,NA,NA,NA
600783,2020,NA,NA,NA
34119,2020,NA,NA,NA
395000,2021,NA,NA,NA
277417,2018,NA,NA,NA
69262,2020,"POINT (12.4887 55.7335)","55.7335","12.4887"
55754,2020,NA,NA,NA
119980,2019,"POINT (-83.743 42.2808)","42.2808","-83.743"
775530,2015,"POINT (121.061 14.5869)","14.5869","121.061"
47729,2011,"POINT (-8.44582 40.5753)","40.5753","-8.44582"
26201,2011,NA,NA,NA
1653461,2020,"POINT (-34.8829 -8.05783)","-8.05783","-34.8829"
2440553,2010,"POINT (-79.9223 -2.17099)","-2.17099","-79.9223"
582602,2015,"POINT (121.024 14.5547)","14.5547","121.024"
127119,2018,"POINT (20.263 63.8258)","63.8258","20.263"
131808,2017,NA,NA,NA
355218,2018,"POINT (-1.1333 52.6333)","52.6333","-1.1333"
902522,2020,"POINT (-90.5069 14.6349)","14.6349","-90.5069"
NA,NA,NA,NA,NA
149280,2020,NA,NA,NA
417865,2020,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
84613,2021,"POINT (24.35 55.7333)","55.7333","24.35"
57469,2021,NA,NA,NA
15892788,2011,"POINT (88.3639 22.5726)","22.5726","88.3639"
56596,2011,NA,NA,NA
475862,2019,NA,NA,NA
86217,2020,NA,NA,NA
399724000,2015,NA,NA,NA
NA,NA,NA,NA,NA
196300,2020,"POINT (41.7606 88.3201)","88.3201","41.7606"
